country,2012,2013,2014,2015,2016,2017
Afghanistan,38.2,38.2,38.2,38.2,38.2,38.2
Angola,32.4,32.4,32.4,32.4,29.4,29.4
Albania,73.5,73.5,73.5,76.5,76.5,76.5
United Arab Emirates,32.4,29.4,29.4,29.4,29.4,26.5
Argentina,79.4,79.4,79.4,79.4,76.5,76.5
Armenia,58.8,58.8,58.8,58.8,58.8,55.9
Australia,100,100,100,100,100,100
Austria,94.1,94.1,94.1,94.1,94.1,91.2
Azerbaijan,47.1,47.1,44.1,38.2,35.3,35.3
Burundi,35.3,29.4,29.4,26.5,26.5,23.5
Belgium,94.1,94.1,94.1,94.1,88.2,85.3
Benin,61.8,58.8,58.8,58.8,58.8,55.9
Burkina Faso,44.1,44.1,44.1,47.1,47.1,50
Bangladesh,70.6,70.6,70.6,67.6,67.6,52.9
Bulgaria,82.4,82.4,82.4,82.4,82.4,79.4
Bahrain,17.6,23.5,23.5,23.5,23.5,23.5
Bosnia and Herzegovina,73.5,73.5,67.6,64.7,61.8,61.8
Belarus,23.5,23.5,26.5,26.5,26.5,23.5
Bolivia,73.5,76.5,76.5,76.5,70.6,70.6
Brazil,91.2,91.2,91.2,91.2,88.2,82.4
Bhutan,35.3,35.3,35.3,38.2,38.2,38.2
Botswana,94.1,94.1,94.1,94.1,94.1,91.2
Central African Republic,29.4,23.5,23.5,23.5,23.5,23.5
Canada,100,100,100,100,100,100
Switzerland,94.1,94.1,94.1,94.1,94.1,91.2
Chile,94.1,97.1,97.1,97.1,94.1,91.2
China,14.7,14.7,14.7,14.7,14.7,14.7
Cote d'Ivoire,38.2,38.2,38.2,38.2,38.2,41.2
Cameroon,38.2,38.2,38.2,38.2,38.2,29.4
"Congo, Dem. Rep.",17.6,17.6,17.6,17.6,8.8,8.8
"Congo, Rep.",32.4,32.4,32.4,29.4,29.4,29.4
Colombia,88.2,88.2,88.2,85.3,82.4,79.4
Comoros,38.2,38.2,38.2,38.2,38.2,38.2
Cape Verde,91.2,91.2,91.2,91.2,91.2,88.2
Costa Rica,97.1,97.1,97.1,97.1,97.1,91.2
Cuba,29.4,29.4,29.4,29.4,26.5,26.5
Cyprus,91.2,91.2,91.2,91.2,91.2,88.2
Czech Republic,94.1,94.1,94.1,94.1,88.2,85.3
Germany,91.2,91.2,91.2,91.2,97.1,94.1
Djibouti,32.4,32.4,26.5,26.5,26.5,26.5
Denmark,97.1,94.1,94.1,94.1,94.1,91.2
Dominican Republic,76.5,76.5,76.5,76.5,76.5,70.6
Algeria,44.1,44.1,44.1,44.1,41.2,41.2
Ecuador,70.6,70.6,70.6,70.6,67.6,67.6
Egypt,41.2,29.4,26.5,29.4,29.4,29.4
Eritrea,11.8,11.8,11.8,11.8,11.8,11.8
Spain,94.1,94.1,94.1,94.1,94.1,88.2
Estonia,88.2,88.2,88.2,88.2,88.2,85.3
Ethiopia,44.1,44.1,38.2,38.2,32.4,23.5
